name	balance	scorumpower	posting_rewards_sp	curation_rewards_sp	post_count	comment_count	
alessio75	334.444444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alessiocrema	63.097338670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alesz2006	438.600000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aletarolo89	1603.247792800 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alex	698.629333334 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alex555	1356.048853190 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alex87	347.733333333 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexander1234	296.220000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
alexb83	1484.413333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexberezov	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
alexedep	21.298800000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexeykuzyashin	33000.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexff10	1098.221444446 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexg2306	61.910833335 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexgrassi1987	1908.933333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexinalex93	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
alexjsfk	203.975333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexjung1	223.553333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexkalo	522.004000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexkislov	1130.102100000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexshkor	84.787791850 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
alexshum	14.988877778 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alext2793	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
alextar1966	434.950000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alextazy	0.000000000 SCR	1505.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alexvicky48	146.587661680 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alfante	475.991290910 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
